LoopNumber,Date,Time,Latitude1,Longtitude1,Latitude2,Longtitude2,distance,km/s,km/hr,Country,City,LatAccuracy,LongAccuracy
1558,07/05/2022,01:15:06:081875,33.55366593,-31.85634852,33.77078116,-31.5879613,34.63847046,6.927694092,24939.69873,PT,Ribeira Grande,4.745888842,2.887961304
1559,07/05/2022,01:15:11:373293,33.7836567,-31.5719728,34.00009928,-31.30196964,34.64578712,6.929157424,24944.96673,PT,Ribeira Grande,4.516570717,2.601969645
1560,07/05/2022,01:15:17:066394,34.01228247,-31.28670203,34.22798644,-31.01514227,34.64387112,6.928774223,24943.5872,PT,Ribeira Grande,4.288683559,2.315142271
1561,07/05/2022,01:15:22:376901,34.25738585,-30.97794585,34.47223306,-30.70475786,34.63361178,6.926722357,24936.20048,PT,Ribeira Grande,4.044436943,2.004757859
1562,07/05/2022,01:15:27:679730,34.48521076,-30.68817878,34.69935088,-30.41332323,34.64065463,6.928130926,24941.27133,PT,Ribeira Grande,3.817319118,1.713323225
1563,07/05/2022,01:15:33:390741,34.71188915,-30.39715395,34.92525819,-30.12068644,34.63887325,6.92777465,24939.98874,PT,Ribeira Grande,3.591411806,1.420686436
1564,07/05/2022,01:15:38:691158,34.95509752,-30.08182427,35.1675719,-29.80367113,34.62839545,6.925679089,24932.44472,PT,Ribeira Grande,3.349098097,1.103671131
1565,07/05/2022,01:15:43:989508,35.17997587,-29.78735475,35.39170785,-29.50748952,34.63484711,6.926969421,24937.08992,PT,Ribeira Grande,3.124962154,0.807489524
1566,07/05/2022,01:15:49:680092,35.40392427,-29.49126355,35.61485323,-29.20973618,34.63311798,6.926623597,24935.84495,PT,Ribeira Grande,2.901816773,0.509736184
1567,07/05/2022,01:15:54:981707,35.64349352,-29.17130857,35.85349959,-28.88804303,34.623287,6.924657401,24928.76664,PT,Ribeira Grande,2.663170413,0.188043025
1568,07/05/2022,01:16:00:271543,35.86581045,-28.87135531,36.07504167,-28.58632215,34.63007316,6.926014632,24933.65268,PT,Ribeira Grande,2.441628327,0.113677845
1569,07/05/2022,01:16:05:969592,36.08675125,-28.57029075,36.29514646,-28.28354754,34.6282965,6.9256593,24932.37348,PT,Sao Roque do Pico,2.221163539,0.023972463
1570,07/05/2022,01:16:11:278028,36.32374828,-28.24397906,36.53118156,-27.95544353,34.6182283,6.92364566,24925.12437,PT,Sao Roque do Pico,1.985128437,0.352076468
1571,07/05/2022,01:16:16:577436,36.54362113,-27.93805202,36.7502435,-27.64769342,34.6251078,6.92502156,24930.07762,PT,Sao Roque do Pico,1.766066499,0.659826583
